UnitId,CallType,CallFinalDisposition,Address,City,StationArea,Priority,ALSUnit,CallTypeGroup,SupervisorDistrict,NeighborhoodName,RowID,ReactionCategory,Year,Month,Time
E08,Alarms,Fire,100 Block of BERRY ST,San Francisco,San Francisco,3,True,Alarm,6,Mission Bay,211230557-E08,Prompt,2021,5,AM
E02,Alarms,Fire,500-501 TAYLOR ST,San Francisco,San Francisco,3,True,Alarm,3,Tenderloin,212930834-E02,Prompt,2021,10,AM
73,Medical Incident,Code 3 Transport,100 Block of 3RD ST,San Francisco,San Francisco,2,True,Non Life-threatening,6,Financial District/South Beach,211940163-73,Prompt,2021,7,AM
E07,Traffic Collision,Code 2 Transport,2600 Block of HARRISON ST,San Francisco,San Francisco,3,True,Potentially Life-Threatening,9,Mission,211940150-E07,Prompt,2021,7,AM
77,Traffic Collision,Code 2 Transport,2600 Block of HARRISON ST,San Francisco,San Francisco,3,True,Potentially Life-Threatening,9,Mission,211940150-77,Prompt,2021,7,AM
62,Medical Incident,Code 2 Transport,500 Block of SOUTH VAN NESS AVE,San Francisco,San Francisco,2,True,Non Life-threatening,9,Mission,211940174-62,Prompt,2021,7,AM
T11,Alarms,Fire,1000 Block of CHURCH ST,San Francisco,San Francisco,3,False,Alarm,8,Noe Valley,221200301-T11,Prompt,2022,4,AM
B06,Alarms,Fire,1000 Block of CHURCH ST,San Francisco,San Francisco,3,False,Alarm,8,Noe Valley,221200301-B06,Prompt,2022,4,AM
E11,Alarms,Fire,1000 Block of CHURCH ST,San Francisco,San Francisco,3,True,Alarm,8,Noe Valley,221200301-E11,Prompt,2022,4,AM
T14,Alarms,Fire,600 Block of 16TH AVE,San Francisco,San Francisco,3,False,Alarm,1,Outer Richmond,211940032-T14,Delay,2021,7,AM
59,Medical Incident,Code 2 Transport,1800 Block of WALLER ST,San Francisco,San Francisco,3,True,Non Life-threatening,5,Golden Gate Park,211230166-59,Prompt,2021,5,AM
E12,Medical Incident,Code 2 Transport,1800 Block of WALLER ST,San Francisco,San Francisco,3,True,Non Life-threatening,5,Golden Gate Park,211230166-E12,Delay,2021,5,AM
77,Medical Incident,Code 2 Transport,HYDE ST/GROVE ST,San Francisco,San Francisco,3,True,Non Life-threatening,6,Tenderloin,211230167-77,Prompt,2021,5,AM
E03,Medical Incident,Code 2 Transport,HYDE ST/GROVE ST,San Francisco,San Francisco,3,True,Non Life-threatening,6,Tenderloin,211230167-E03,Prompt,2021,5,AM
B02,Alarms,Fire,100 Block of EDDY ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,210391341-B02,Delay,2021,2,AM
T14,Other,Fire,6100 Block of GEARY BL,San Francisco,San Francisco,3,False,Non Life-threatening,1,Outer Richmond,222090209-T14,Prompt,2022,7,AM
E14,Medical Incident,Code 2 Transport,200 Block of EL CAMINO DEL MAR,San Francisco,San Francisco,3,True,Non Life-threatening,2,Seacliff,212930249-E14,Prompt,2021,10,AM
B02,Alarms,Fire,0 Block of TAYLOR ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,222090139-B02,Delay,2022,7,AM
E14,Alarms,Fire,600 Block of 24TH AV,San Francisco,San Francisco,3,True,Alarm,1,Outer Richmond,212971884-E14,Prompt,2021,10,PM
E34,Electrical Hazard,Fire,700 Block of 47TH AV,San Francisco,San Francisco,3,True,Potentially Life-Threatening,1,Outer Richmond,212971879-E34,Delay,2021,10,PM
E15,Medical Incident,Code 2 Transport,1000 Block of CAYUGA AVE,San Francisco,San Francisco,2,True,Non Life-threatening,11,Outer Mission,212971885-E15,Prompt,2021,10,PM
67,Medical Incident,Cancelled,3RD ST/PALOU AV,San Francisco,San Francisco,2,True,Non Life-threatening,10,Bayview Hunters Point,220173023-67,Delay,2022,1,PM
B07,Alarms,No Merit,7000 Block of CALIFORNIA ST,San Francisco,San Francisco,3,False,Alarm,1,Outer Richmond,221192820-B07,Prompt,2022,4,PM
T07,Citizen Assist / Service Call,Fire,2900 Block of 21ST ST,San Francisco,San Francisco,2,True,Non Life-threatening,9,Mission,210390329-T07,Prompt,2021,2,AM
T02,Alarms,Fire,1300 Block of COLUMBUS AVE,San Francisco,San Francisco,3,False,Alarm,3,North Beach,211931446-T02,Prompt,2021,7,AM
T10,Alarms,Fire,200 Block of 3RD AVE,San Francisco,San Francisco,3,False,Alarm,1,Inner Richmond,222082247-T10,Delay,2022,7,PM
T15,Alarms,Fire,500 Block of CARTER ST,San Francisco,San Francisco,3,False,Alarm,10,Excelsior,211221179-T15,Delay,2021,5,PM
E22,Citizen Assist / Service Call,Fire,1900 Block of IRVING ST,San Francisco,San Francisco,3,False,Non Life-threatening,4,Sunset/Parkside,212971813-E22,Prompt,2021,10,PM
76,Medical Incident,Code 3 Transport,MISSION ST/26TH ST,San Francisco,San Francisco,2,True,Non Life-threatening,9,Mission,212971812-76,Prompt,2021,10,PM
E44,Electrical Hazard,Fire,5-12 SCOTIA AV,San Francisco,San Francisco,3,True,Potentially Life-Threatening,10,Bayview Hunters Point,212971814-E44,Delay,2021,10,PM
E41,Alarms,Fire,400 Block of ELLIS ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,211931110-E41,Prompt,2021,7,AM
B05,Alarms,Fire,1400 Block of MARKET ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,221191715-B05,Prompt,2022,4,PM
B02,Alarms,Fire,3000 Block of 16TH ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,220170811-B02,Prompt,2022,1,AM
70,Medical Incident,SFPD,3500 Block of CESAR CHAVEZ ST,San Francisco,San Francisco,2,True,Non Life-threatening,9,Bernal Heights,211930218-70,Prompt,2021,7,AM
E09,Outside Fire,Fire,CESAR CHAVEZ ST/VERMONT ST,San Francisco,San Francisco,3,True,Fire,10,Potrero Hill,221191444-E09,Prompt,2022,4,PM
E03,Alarms,Fire,900 Block of LARKIN ST,San Francisco,San Francisco,3,True,Alarm,6,Tenderloin,212921683-E03,Prompt,2021,10,PM
T09,Alarms,Fire,200 Block of BANKS ST,San Francisco,San Francisco,3,False,Alarm,9,Bernal Heights,211922772-T09,Prompt,2021,7,PM
E43,Citizen Assist / Service Call,Fire,1800 Block of SUNNYDALE AVE,San Francisco,San Francisco,3,True,Non Life-threatening,10,Visitacion Valley,210381175-E43,Prompt,2021,2,AM
B06,Alarms,Fire,2600 Block of FOLSOM ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,212920818-B06,Prompt,2021,10,AM
RS1,Water Rescue,Code 2 Transport,3800 Block of TAYLOR ST,San Francisco,San Francisco,3,False,Potentially Life-Threatening,3,North Beach,221190681-RS1,Delay,2022,4,AM
E16,Medical Incident,Code 2 Transport,CHESTNUT ST/DIVISADERO ST,San Francisco,San Francisco,3,True,Non Life-threatening,2,Marina,220162991-E16,Prompt,2022,1,PM
E39,Alarms,Fire,0 Block of FERNWOOD DR,San Francisco,San Francisco,3,True,Alarm,7,West of Twin Peaks,211300761-E39,Prompt,2021,5,AM
B09,Alarms,Fire,0 Block of FERNWOOD DR,San Francisco,San Francisco,3,False,Alarm,7,West of Twin Peaks,211300761-B09,Prompt,2021,5,AM
T08,Medical Incident,Code 2 Transport,0 Block of BLUXOME ST,San Francisco,San Francisco,2,False,Non Life-threatening,6,South of Market,211300721-T08,Prompt,2021,5,AM
SCRT4,Medical Incident,Unable to Locate,1000 Block of VALENCIA ST,San Francisco,San Francisco,1,False,Non Life-threatening,9,Mission,211212414-SCRT4,Prompt,2021,5,PM
KM02,Medical Incident,Code 2 Transport,1200 Block of 37TH AVE,San Francisco,San Francisco,2,False,Non Life-threatening,4,Sunset/Parkside,211922073-KM02,Delay,2021,7,PM
B04,Alarms,Fire,2400 Block of FILBERT ST,San Francisco,San Francisco,3,False,Alarm,2,Marina,211300702-B04,Prompt,2021,5,AM
T03,Citizen Assist / Service Call,Fire,700 Block of EDDY ST,San Francisco,San Francisco,3,False,Non Life-threatening,6,Tenderloin,222080162-T03,Prompt,2022,7,AM
B09,Alarms,Fire,8200 Block of OCEANVIEW TER,San Francisco,San Francisco,3,False,Alarm,7,Oceanview/Merced/Ingleside,222073195-B09,Prompt,2022,7,PM
T03,Alarms,Fire,1700 Block of CALIFORNIA ST,San Francisco,San Francisco,3,False,Alarm,2,Pacific Heights,222073105-T03,Prompt,2022,7,PM
83,Medical Incident,Code 2 Transport,900 Block of SUTTER ST,San Francisco,San Francisco,2,True,Non Life-threatening,3,Nob Hill,212912917-83,Prompt,2021,10,PM
E15,Medical Incident,Code 2 Transport,0 Block of THOMAS MORE WAY,San Francisco,San Francisco,3,True,Non Life-threatening,7,Lakeshore,220161959-E15,Prompt,2022,1,PM
T03,Alarms,Fire,200 Block of GOLDEN GATE AVE,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,222072575-T03,Prompt,2022,7,PM
E41,Structure Fire,Fire,900 Block of SUTTER ST,San Francisco,San Francisco,3,False,Fire,3,Nob Hill,210372955-E41,Delay,2021,2,PM
T13,Electrical Hazard,Fire,400 Block of STOCKTON ST,San Francisco,San Francisco,3,False,Potentially Life-Threatening,3,Financial District/South Beach,211210756-T13,Prompt,2021,5,AM
T16,Structure Fire,No Merit,3200 Block of JACKSON ST,San Francisco,San Francisco,3,False,Fire,2,Presidio Heights,211913213-T16,Prompt,2021,7,PM
55,Medical Incident,Cancelled,1900 Block of LEAVENWORTH ST,San Francisco,San Francisco,3,True,Non Life-threatening,3,Russian Hill,210371768-55,Delay,2021,2,PM
E03,Alarms,Fire,300 Block of POST ST,San Francisco,San Francisco,3,True,Alarm,3,Financial District/South Beach,211913089-E03,Prompt,2021,7,PM
E01,Alarms,Fire,1000 Block of MARKET ST,San Francisco,San Francisco,3,True,Alarm,6,Tenderloin,212911159-E01,Prompt,2021,10,AM
E11,Outside Fire,Fire,BARTLETT ST/22ND ST,San Francisco,San Francisco,3,True,Fire,9,Mission,210371410-E11,Delay,2021,2,PM
T19,Elevator / Escalator Rescue,Fire,3200 Block of 20TH AVE,San Francisco,San Francisco,3,True,Non Life-threatening,7,Lakeshore,220153178-T19,Prompt,2022,1,PM
T02,Alarms,Fire,1300 Block of COLUMBUS AVE,San Francisco,San Francisco,3,False,Alarm,3,North Beach,220152639-T02,Prompt,2022,1,PM
B02,Alarms,Fire,2100 Block of MISSION ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,212902975-B02,Delay,2021,10,PM
B03,Alarms,Fire,300 Block of KING ST,San Francisco,San Francisco,3,False,Alarm,6,Mission Bay,211911697-B03,Prompt,2021,7,PM
RS1,Structure Fire,Fire,2100 Block of GROVE ST,San Francisco,San Francisco,3,False,Fire,5,Lone Mountain/USF,211911637-RS1,Prompt,2021,7,PM
B06,Alarms,Fire,100 Block of HOLLADAY AVE,San Francisco,San Francisco,3,False,Alarm,9,Bernal Heights,212902769-B06,Delay,2021,10,PM
63,Medical Incident,No Merit,EDDY ST/POLK ST,San Francisco,San Francisco,3,True,Non Life-threatening,6,Tenderloin,221172590-63,Prompt,2022,4,PM
T03,Citizen Assist / Service Call,Fire,1900 Block of GREEN ST,San Francisco,San Francisco,3,False,Non Life-threatening,2,Marina,211910956-T03,Prompt,2021,7,AM
66,Other,SFPD,1400 Block of GUERRERO ST,San Francisco,San Francisco,3,True,Non Life-threatening,8,Mission,222062398-66,Delay,2022,7,PM
B04,Water Rescue,Fire,1100 Block of EAST BEACH RD,Presidio,Presidio,3,False,Potentially Life-Threatening,2,Presidio,210362574-B04,Prompt,2021,2,PM
E41,Outside Fire,Fire,BUSH ST/LARKIN ST,San Francisco,San Francisco,3,False,Fire,3,Nob Hill,220150296-E41,Delay,2022,1,AM
E01,Alarms,Fire,200 Block of EDDY ST,San Francisco,San Francisco,3,True,Alarm,6,Tenderloin,210361066-E01,Prompt,2021,2,AM
B04,Alarms,Fire,3500 Block of FILLMORE ST,San Francisco,San Francisco,3,False,Alarm,2,Marina,222060711-B04,Prompt,2022,7,AM
RA48,Medical Incident,Cancelled,CALL BOX: FS YB-BLDG 213,San Francisco,San Francisco,3,False,Non Life-threatening,6,Treasure Island,210360819-RA48,Delay,2021,2,AM
E36,Medical Incident,Cancelled,8TH ST/MARKET ST,San Francisco,San Francisco,E,True,Non Life-threatening,6,Tenderloin,222060076-E36,Prompt,2022,7,AM
T07,Alarms,Fire,3000 Block of 24TH ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,211901745-T07,Prompt,2021,7,PM
E06,Outside Fire,Fire,STEVENSON ST/14TH ST,San Francisco,San Francisco,3,True,Fire,9,Mission,222052758-E06,Prompt,2022,7,PM
B02,Alarms,Fire,1100 Block of MISSION ST,San Francisco,San Francisco,3,False,Alarm,6,South of Market,211190338-B02,Prompt,2021,4,AM
T16,Structure Fire,Fire,1300 Block of GREENWICH ST,San Francisco,San Francisco,3,False,Fire,2,Russian Hill,222052579-T16,Prompt,2022,7,PM
E03,Medical Incident,Against Medical Advice,100 Block of JONES ST,San Francisco,San Francisco,3,True,Non Life-threatening,6,Tenderloin,212893071-E03,Prompt,2021,10,PM
E13,Outside Fire,Other,BATTERY ST/BUSH ST,San Francisco,San Francisco,3,True,Fire,3,Financial District/South Beach,212892856-E13,Delay,2021,10,PM
T05,Alarms,Fire,300 Block of FULTON ST,San Francisco,San Francisco,3,False,Alarm,5,Hayes Valley,220142079-T05,Prompt,2022,1,PM
E06,Fuel Spill,SFPD,15TH ST/GUERRERO ST,San Francisco,San Francisco,3,True,Potentially Life-Threatening,8,Mission,212892503-E06,Prompt,2021,10,PM
T14,Alarms,Fire,700 Block of 29TH AVE,San Francisco,San Francisco,3,False,Alarm,1,Outer Richmond,211900275-T14,Prompt,2021,7,AM
E06,Structure Fire,Fire,1800 Block of HAIGHT ST,San Francisco,San Francisco,3,True,Fire,5,Haight Ashbury,212892351-E06,Prompt,2021,10,PM
E40,Structure Fire,Fire,200 Block of JUANITA WAY,San Francisco,San Francisco,3,False,Fire,7,West of Twin Peaks,220141406-E40,Prompt,2022,1,PM
T11,Alarms,Fire,1500 Block of VALENCIA ST,San Francisco,San Francisco,3,False,Alarm,9,Bernal Heights,222051412-T11,Prompt,2022,7,PM
AM116,Medical Incident,No Merit,400 Block of HICKORY ST,San Francisco,San Francisco,3,False,Non Life-threatening,5,Hayes Valley,212891786-AM116,Delay,2021,10,PM
T14,Alarms,Fire,3300 Block of ANZA ST,San Francisco,San Francisco,3,False,Alarm,1,Outer Richmond,211893262-T14,Prompt,2021,7,PM
E20,Electrical Hazard,Fire,SANCHEZ ST/CLIPPER ST,San Francisco,San Francisco,3,True,Potentially Life-Threatening,8,Noe Valley,211181889-E20,Prompt,2021,4,PM
RC3,Structure Fire,Fire,2700 Block of 16TH ST,San Francisco,San Francisco,3,True,Fire,9,Mission,211892820-RC3,Delay,2021,7,PM
T04,Alarms,Fire,400 Block of MISSOURI ST,San Francisco,San Francisco,3,False,Alarm,10,Potrero Hill,212891202-T04,Prompt,2021,10,AM
E09,Outside Fire,Fire,2200 Block of JERROLD AVE,San Francisco,San Francisco,3,True,Fire,10,Bayview Hunters Point,211181275-E09,Prompt,2021,4,AM
T11,Structure Fire,Fire,900 Block of ALABAMA ST,San Francisco,San Francisco,3,False,Fire,9,Mission,221153256-T11,Prompt,2022,4,PM
E04,Alarms,Fire,1800 Block of 4TH ST,San Francisco,San Francisco,3,False,Alarm,6,Potrero Hill,212890870-E04,Prompt,2021,10,AM
E36,Alarms,Fire,200 Block of MCALLISTER ST,San Francisco,San Francisco,3,True,Alarm,6,Tenderloin,221153030-E36,Prompt,2022,4,PM
T02,Alarms,Fire,2700 Block of POLK ST,San Francisco,San Francisco,3,False,Alarm,2,Russian Hill,211891587-T02,Delay,2021,7,PM
T07,Alarms,Fire,2000 Block of MISSION ST,San Francisco,San Francisco,3,False,Alarm,9,Mission,211180439-T07,Prompt,2021,4,AM
E05,Structure Fire,Fire,BUCHANAN ST/FELL ST,San Francisco,San Francisco,3,True,Fire,5,Hayes Valley,212890424-E05,Prompt,2021,10,AM
B08,Structure Fire,Fire,2200 Block of 31ST AV,San Francisco,San Francisco,3,False,Fire,4,Sunset/Parkside,211172560-B08,Prompt,2021,4,PM
B07,Other,Code 2 Transport,CALL BOX: US HWY 101 NB OR SB IN PRESIDIO,San Francisco,San Francisco,3,False,Non Life-threatening,2,Presidio,222041855-B07,Prompt,2022,7,PM
E44,Alarms,Fire,2600 Block of ARELIOUS WALKER DR,San Francisco,San Francisco,3,False,Alarm,10,Bayview Hunters Point,211172010-E44,Prompt,2021,4,PM
T05,Alarms,Fire,1400 Block of SCOTT ST,San Francisco,San Francisco,3,False,Alarm,5,Western Addition,211883009-T05,Prompt,2021,7,PM
T11,Alarms,Fire,400 Block of JERSEY ST,San Francisco,San Francisco,3,False,Alarm,8,Noe Valley,212882229-T11,Prompt,2021,10,PM
T16,Other,Fire,2100 Block of BRODERICK ST,San Francisco,San Francisco,3,False,Non Life-threatening,2,Pacific Heights,220131082-T16,Delay,2022,1,AM
E25,Outside Fire,Fire,25TH ST/PENNSYLVANIA AV,San Francisco,San Francisco,3,True,Fire,10,Bayview Hunters Point,221142913-E25,Prompt,2022,4,PM
B04,Alarms,Fire,2150-2180 POST ST,San Francisco,San Francisco,3,False,Alarm,5,Japantown,221141785-B04,Prompt,2022,4,PM
B01,Alarms,Fire,1200 Block of FILBERT ST,San Francisco,San Francisco,3,False,Alarm,2,Russian Hill,222033145-B01,Prompt,2022,7,PM
E07,Structure Fire,Fire,23RD ST/TREAT AV,San Francisco,San Francisco,3,True,Fire,9,Mission,211163026-E07,Prompt,2021,4,PM
T06,Structure Fire,Fire,FILLMORE ST/FELL ST,San Francisco,San Francisco,3,False,Fire,5,Hayes Valley,221132830-T06,Delay,2022,4,PM
B03,Alarms,Fire,1000 Block of HOWARD ST,San Francisco,San Francisco,3,False,Alarm,6,South of Market,211160679-B03,Delay,2021,4,AM
E25,Other,Fire,1200 Block of 25TH ST,San Francisco,San Francisco,3,False,Non Life-threatening,10,Potrero Hill,220121678-E25,Prompt,2022,1,PM
B01,Alarms,Fire,800 Block of POST ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,211152202-B01,Delay,2021,4,PM
T01,Alarms,Fire,0 Block of 7TH ST,San Francisco,San Francisco,3,False,Alarm,6,South of Market,211870109-T01,Delay,2021,7,AM
T10,Alarms,Fire,400 Block of ARGUELLO BLVD,San Francisco,San Francisco,3,False,Alarm,2,Presidio Heights,222030532-T10,Prompt,2022,7,AM
B07,Other,Fire,CALL BOX: US HWY 101 NB OR SB IN PRESIDIO,San Francisco,San Francisco,3,False,Non Life-threatening,2,Presidio,221130712-B07,Delay,2022,4,AM
64,Medical Incident,Code 2 Transport,800 Block of VALLEJO ST,San Francisco,San Francisco,2,True,Non Life-threatening,3,Chinatown,222030021-64,Prompt,2022,7,AM
B05,High Angle Rescue,Fire,0 Block of BOWL DR,San Francisco,San Francisco,3,False,Potentially Life-Threatening,7,Golden Gate Park,222023230-B05,Prompt,2022,7,PM
E07,Medical Incident,Code 2 Transport,500 Block of VALENCIA ST,San Francisco,San Francisco,2,True,Non Life-threatening,9,Mission,211862605-E07,Prompt,2021,7,PM
T08,Alarms,Fire,800 Block of BRYANT ST,San Francisco,San Francisco,3,False,Alarm,6,South of Market,221130242-T08,Prompt,2022,4,AM
88,Medical Incident,SFPD,1200 Block of 45TH AVE,San Francisco,San Francisco,2,True,Non Life-threatening,4,Sunset/Parkside,222023055-88,Delay,2022,7,PM
B05,Alarms,Fire,3400 Block of WASHINGTON ST,San Francisco,San Francisco,3,False,Alarm,2,Presidio Heights,212862751-B05,Delay,2021,10,PM
T16,Structure Fire,Fire,1900 Block of LOMBARD ST,San Francisco,San Francisco,3,False,Fire,2,Marina,211150565-T16,Delay,2021,4,AM
T01,Alarms,Fire,1100 Block of HOWARD ST,San Francisco,San Francisco,3,False,Alarm,6,South of Market,212862641-T01,Delay,2021,10,PM
E07,Alarms,Fire,0 Block of OAKWOOD ST,San Francisco,San Francisco,3,True,Alarm,8,Mission,220112731-E07,Prompt,2022,1,PM
B02,Alarms,Fire,1000 Block of POTRERO AVE,San Francisco,San Francisco,3,False,Alarm,10,Potrero Hill,222022589-B02,Prompt,2022,7,PM
T01,Elevator / Escalator Rescue,Fire,100 Block of TAYLOR ST,San Francisco,San Francisco,3,False,Non Life-threatening,6,Tenderloin,221122156-T01,Prompt,2022,4,PM
55,Medical Incident,Cancelled,800 Block of HAYES ST,San Francisco,San Francisco,2,True,Non Life-threatening,5,Hayes Valley,211861077-55,Delay,2021,7,AM
B02,Alarms,Fire,600 Block of ELLIS ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,212861829-B02,Prompt,2021,10,PM
E16,Electrical Hazard,Fire,GREENWICH ST/FILLMORE ST,San Francisco,San Francisco,3,True,Potentially Life-Threatening,2,Marina,211142792-E16,Prompt,2021,4,PM
B04,Alarms,Fire,2400 Block of FRANCISCO ST,San Francisco,San Francisco,3,False,Alarm,2,Marina,212861571-B04,Prompt,2021,10,PM
70,Structure Fire,Fire,900 Block of INNES AVE,San Francisco,San Francisco,3,True,Fire,10,Bayview Hunters Point,222021728-70,Delay,2022,7,PM
B01,Alarms,Fire,700 Block of HARRISON ST,San Francisco,San Francisco,3,False,Alarm,6,South of Market,211860151-B01,Delay,2021,7,AM
KM115,Medical Incident,Code 2 Transport,2100 Block of SCOTT ST,San Francisco,San Francisco,3,False,Non Life-threatening,2,Pacific Heights,220110979-KM115,Prompt,2022,1,AM
T15,Structure Fire,Fire,4000 Block of MISSION ST,San Francisco,San Francisco,3,False,Fire,9,Bernal Heights,211853408-T15,Delay,2021,7,PM
T09,Citizen Assist / Service Call,Fire,100 Block of BANKS ST,San Francisco,San Francisco,2,False,Non Life-threatening,9,Bernal Heights,222020415-T09,Prompt,2022,7,AM
T17,Citizen Assist / Service Call,Fire,1700 Block of NEWCOMB AVE,San Francisco,San Francisco,2,False,Non Life-threatening,10,Bayview Hunters Point,211140740-T17,Prompt,2021,4,AM
T02,Alarms,Fire,1200 Block of JACKSON ST,San Francisco,San Francisco,3,False,Alarm,3,Nob Hill,220103457-T02,Prompt,2022,1,PM
B01,Structure Fire,Fire,200 Block of EDDY ST,San Francisco,San Francisco,3,False,Fire,6,Tenderloin,211140067-B01,Prompt,2021,4,AM
E42,Outside Fire,Fire,WOOLSEY ST/BOWDOIN ST,San Francisco,San Francisco,3,True,Fire,9,Portola,222012989-E42,Prompt,2022,7,PM
T04,Alarms,Fire,500 Block of INDIANA ST,San Francisco,San Francisco,3,False,Alarm,10,Potrero Hill,212851348-T04,Prompt,2021,10,AM
T18,Alarms,Fire,3100 Block of ORTEGA ST,San Francisco,San Francisco,3,False,Alarm,4,Sunset/Parkside,211131421-T18,Delay,2021,4,PM
E13,Alarms,Fire,100 Block of BUSH ST,San Francisco,San Francisco,3,True,Alarm,3,Financial District/South Beach,211843055-E13,Prompt,2021,7,PM
T03,Alarms,Fire,100 Block of LARKIN ST,San Francisco,San Francisco,3,False,Alarm,6,Tenderloin,221101857-T03,Prompt,2022,4,PM
B08,Alarms,Fire,1700 Block of 48TH AVE,San Francisco,San Francisco,3,False,Alarm,4,Sunset/Parkside,222003183-B08,Prompt,2022,7,PM
D3,Structure Fire,Fire,100 Block of APOLLO ST,San Francisco,San Francisco,3,False,Fire,10,Bayview Hunters Point,211841832-D3,Delay,2021,7,PM
B02,Alarms,Fire,600 Block of POST ST,San Francisco,San Francisco,3,False,Alarm,3,Nob Hill,211841634-B02,Delay,2021,7,PM
T01,Other,Fire,1200 Block of FOLSOM ST,San Francisco,San Francisco,3,False,Non Life-threatening,6,South of Market,220100357-T01,Prompt,2022,1,AM
AR1,Structure Fire,Fire,200 Block of SAN BRUNO AVE,San Francisco,San Francisco,3,False,Fire,10,Mission,221101643-AR1,Prompt,2022,4,PM
T08,Structure Fire,Fire,400 Block of BERRY ST,San Francisco,San Francisco,3,True,Fire,6,Mission Bay,222002923-T08,Prompt,2022,7,PM
D3,Structure Fire,Fire,LAKE MERCED BL/BROTHERHOOD WY,San Francisco,San Francisco,3,False,Fire,7,Lakeshore,212842299-D3,Prompt,2021,10,PM
